172.19.0.1 - - [09/Jan/2017:19:45:46 +0000] GET http://localhost/ HTTP/1.1 302 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.036" connect_time="0.003" header_time="0.036" response_time="0.036"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-admin/setup-config.php HTTP/1.1 200 1073 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="8.077" connect_time="0.001" header_time="8.077" response_time="8.077"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-includes/css/buttons.min.css?ver=4.7 HTTP/1.1 200 6361 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1 200 10056 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-admin/css/install.min.css?ver=4.7 HTTP/1.1 200 5966 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-includes/js/jquery/jquery.js?ver=1.12.4 HTTP/1.1 200 97184 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-admin/js/language-chooser.min.js?ver=4.7 HTTP/1.1 200 374 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.19.0.1 - - [09/Jan/2017:19:45:54 +0000] GET http://localhost/wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.1 200 1521 "http://localhost:8080/wp-admin/css/install.min.css?ver=4.7" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.19.0.1 - - [09/Jan/2017:19:45:58 +0000] GET http://localhost/wp-admin/setup-config.php?step=1 HTTP/1.1 200 1088 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.174" connect_time="0.002" header_time="0.174" response_time="0.174"
172.19.0.1 - - [09/Jan/2017:19:46:54 +0000] POST http://localhost/wp-admin/setup-config.php?step=2 HTTP/1.1 500 5 "http://localhost:8080/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.171" connect_time="0.002" header_time="0.171" response_time="0.171"
172.19.0.1 - - [09/Jan/2017:19:47:05 +0000] GET http://localhost/wp-admin/setup-config.php?step=1 HTTP/1.1 200 1088 "http://localhost:8080/wp-admin/setup-config.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.163" connect_time="0.002" header_time="0.163" response_time="0.163"
172.19.0.1 - - [09/Jan/2017:19:47:07 +0000] POST http://localhost/wp-admin/setup-config.php?step=2 HTTP/1.1 500 5 "http://localhost:8080/wp-admin/setup-config.php?step=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.029" connect_time="0.002" header_time="0.029" response_time="0.029"
172.19.0.1 - - [09/Jan/2017:19:49:08 +0000] GET http://localhost/ HTTP/1.1 200 31 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.030" connect_time="0.002" header_time="0.030" response_time="0.030"
172.19.0.1 - - [09/Jan/2017:19:49:11 +0000] GET http://localhost/ HTTP/1.1 200 31 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.030" connect_time="0.003" header_time="0.030" response_time="0.030"
172.19.0.1 - - [09/Jan/2017:19:50:12 +0000] GET http://localhost/ HTTP/1.1 200 155 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.042" connect_time="0.002" header_time="0.042" response_time="0.042"
172.19.0.1 - - [09/Jan/2017:19:50:13 +0000] GET http://localhost/ HTTP/1.1 200 155 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.010" connect_time="0.003" header_time="0.010" response_time="0.010"
